trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
10424680,6/30/2016 20:27,6/30/2016 20:43,5646,925,175,Wells St & Polk St,129,Blue Island Ave & 18th St,Subscriber,Male,1992
10424542,6/30/2016 20:19,6/30/2016 20:28,4526,550,500,Central Park Ave & Elbridge Ave,498,California Ave & Fletcher St,Subscriber,Male,1970
10424417,6/30/2016 20:12,6/30/2016 20:15,1315,168,442,California Ave & 23rd Pl,348,California Ave & 21st St,Subscriber,Male,1953
10424284,6/30/2016 20:04,6/30/2016 20:27,1101,1352,286,Franklin St & Quincy St,144,Larrabee St & Webster Ave,Subscriber,Female,1986
10424172,6/30/2016 19:56,6/30/2016 20:17,5374,1212,45,Michigan Ave & Congress Pkwy,197,Michigan Ave & Madison St,Customer,,
10424051,6/30/2016 19:51,6/30/2016 19:58,1067,431,280,Morgan St & 31st St,403,Wentworth Ave & 33rd St,Customer,,
10423945,6/30/2016 19:46,6/30/2016 19:50,3260,249,39,Wabash Ave & Adams St,284,Michigan Ave & Jackson Blvd,Customer,,
10423840,6/30/2016 19:38,6/30/2016 19:41,537,188,38,Clark St & Lake St,38,Clark St & Lake St,Subscriber,Female,1987
10423724,6/30/2016 19:32,6/30/2016 19:45,3260,754,36,Franklin St & Jackson Blvd,39,Wabash Ave & Adams St,Customer,,
10423616,6/30/2016 19:27,6/30/2016 19:39,5682,748,302,Sheffield Ave & Wrightwood Ave,166,Ashland Ave & Wrightwood Ave,Subscriber,Female,1968
10423496,6/30/2016 19:21,6/30/2016 19:25,4379,213,320,Loomis St & Lexington St,342,Wolcott Ave & Polk St,Subscriber,Male,1988
10423374,6/30/2016 19:17,6/30/2016 19:24,356,453,290,Kedzie Ave & Palmer Ct,260,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1989
10423244,6/30/2016 19:11,6/30/2016 19:27,1044,916,4,Burnham Harbor,321,Wabash Ave & 8th St,Subscriber,Male,1980
10423107,6/30/2016 19:06,6/30/2016 19:17,1622,635,172,Rush St & Cedar St,142,McClurg Ct & Erie St,Subscriber,Female,1993
10422999,6/30/2016 19:01,6/30/2016 19:20,4934,1132,263,Rhodes Ave & 32nd St,4,Burnham Harbor,Customer,,
10422884,6/30/2016 18:57,6/30/2016 19:14,445,1005,133,Kingsbury St & Kinzie St,25,Michigan Ave & Pearson St,Subscriber,Female,1989
10422768,6/30/2016 18:53,6/30/2016 19:19,3595,1572,117,Wilton Ave & Belmont Ave,249,Montrose Harbor,Subscriber,Female,1993
10422658,6/30/2016 18:48,6/30/2016 18:57,5223,510,133,Kingsbury St & Kinzie St,196,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1983
10422547,6/30/2016 18:45,6/30/2016 18:52,5454,430,359,Larrabee St & Division St,28,Larrabee St & Menomonee St,Subscriber,Male,1982
10422419,6/30/2016 18:40,6/30/2016 18:48,4047,528,69,Damen Ave & Pierce Ave,331,Halsted St & Blackhawk St (*),Subscriber,Male,1987
10422288,6/30/2016 18:35,6/30/2016 18:48,2730,764,44,State St & Randolph St,26,McClurg Ct & Illinois St,Customer,,
10422177,6/30/2016 18:30,6/30/2016 18:43,5716,786,29,Noble St & Milwaukee Ave,161,Rush St & Superior St,Subscriber,Male,1986
10422069,6/30/2016 18:27,6/30/2016 18:31,875,240,217,May St & Fulton St,21,Aberdeen St & Jackson Blvd,Subscriber,Male,1978
