trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
9072294,3/31/2016 8:05,3/31/2016 8:15,4680,585,9192,Canal St & Adams St,9052,Michigan Ave & Lake St,Subscriber,Male,1970
9072278,3/31/2016 8:04,3/31/2016 8:26,4468,1352,9232,Pine Grove Ave & Waveland Ave,9331,Halsted St & Blackhawk St (*),Subscriber,Male,1991
9072267,3/31/2016 8:02,3/31/2016 8:07,337,300,9045,Michigan Ave & Congress Pkwy,9283,LaSalle St & Jackson Blvd,Subscriber,Male,1994
9072252,3/31/2016 8:01,3/31/2016 8:08,4466,409,9183,Damen Ave & Augusta Blvd,9016,Paulina Ave & North Ave,Subscriber,Female,1970
9072240,3/31/2016 7:59,3/31/2016 8:07,291,478,9023,Orleans St & Elm St (*),9084,Union Ave & Grand Ave,Subscriber,Male,1984
9072229,3/31/2016 7:58,3/31/2016 8:02,4312,202,9159,Claremont Ave & Hirsch St,9069,Damen Ave & Pierce Ave,Subscriber,Male,1989
9072217,3/31/2016 7:58,3/31/2016 8:05,1492,429,9140,Dearborn Pkwy & Delaware Pl,9133,Kingsbury St & Kinzie St,Subscriber,Male,1989
9072204,3/31/2016 7:56,3/31/2016 8:01,578,271,9460,Clark St & Bryn Mawr Ave,9461,Broadway & Ridge Ave,Subscriber,Male,1986
9072193,3/31/2016 7:55,3/31/2016 8:05,2972,565,9220,Hampden Ct & Diversey Pkwy,9141,Clark St & Lincoln Ave,Subscriber,Female,1991
9072182,3/31/2016 7:54,3/31/2016 7:58,42,219,9287,Franklin St & Monroe St,9077,Clinton St & Madison St,Subscriber,Male,1952
9072171,3/31/2016 7:53,3/31/2016 8:17,2767,1437,9278,Wallace St & 35th St,9287,Franklin St & Monroe St,Subscriber,Female,1986
9072159,3/31/2016 7:52,3/31/2016 7:59,4338,413,9133,Kingsbury St & Kinzie St,9077,Clinton St & Madison St,Subscriber,Male,1945
9072148,3/31/2016 7:50,3/31/2016 8:02,1843,683,9058,Marshfield Ave & Cortland St,9289,Wells St & Concord Ln,Subscriber,Male,1970
9072137,3/31/2016 7:49,3/31/2016 8:02,203,799,9106,State St & Pearson St,9192,Canal St & Adams St,Subscriber,Male,1989
9072127,3/31/2016 7:48,3/31/2016 8:00,4225,696,9091,Clinton St & Washington Blvd,9031,Franklin St & Chicago Ave,Subscriber,Male,1980
9072117,3/31/2016 7:48,3/31/2016 8:00,4220,744,9091,Clinton St & Washington Blvd,9025,Michigan Ave & Pearson St,Subscriber,Male,1964
9072105,3/31/2016 7:47,3/31/2016 7:50,4684,198,9312,Clarendon Ave & Gordon Ter,9240,Sheridan Rd & Irving Park Rd,Subscriber,Male,1992
9072095,3/31/2016 7:46,3/31/2016 7:51,1647,253,9091,Clinton St & Washington Blvd,9164,Franklin St & Lake St,Subscriber,Male,1946
9072082,3/31/2016 7:45,3/31/2016 7:51,3392,376,9323,Sheridan Rd & Lawrence Ave,9344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1991
9072068,3/31/2016 7:43,3/31/2016 7:49,845,368,9340,Clark St & Wrightwood Ave,9067,Sheffield Ave & Fullerton Ave,Subscriber,Male,1991
9072056,3/31/2016 7:42,3/31/2016 8:06,4368,1440,9143,Sedgwick St & Webster Ave,9066,Clinton St & Lake St,Subscriber,Male,1973
9072044,3/31/2016 7:41,3/31/2016 7:45,4674,208,9337,Clark St & Chicago Ave,9211,St. Clair St & Erie St,Subscriber,Male,1982
9072034,3/31/2016 7:40,3/31/2016 7:46,631,360,9037,Dearborn St & Adams St,9287,Franklin St & Monroe St,Subscriber,Male,1957
9072023,3/31/2016 7:39,3/31/2016 7:47,1055,503,9212,Orleans St & Ohio St,9286,Franklin St & Quincy St,Subscriber,Male,1981
9072013,3/31/2016 7:38,3/31/2016 7:45,2898,426,9280,Morgan St & 31st St,9278,Wallace St & 35th St,Subscriber,Female,1983
9072003,3/31/2016 7:38,3/31/2016 7:46,1670,491,9195,Columbus Dr & Randolph St,9286,Franklin St & Quincy St,Subscriber,Male,1980
9071990,3/31/2016 7:35,3/31/2016 7:40,3391,322,9287,Franklin St & Monroe St,9043,Michigan Ave & Washington St,Subscriber,Male,1959
9071974,3/31/2016 7:33,3/31/2016 7:50,1317,998,9288,Larrabee St & Armitage Ave,9051,Clark St & Randolph St,Subscriber,Male,1986
9071961,3/31/2016 7:32,3/31/2016 7:36,2433,268,9074,Kingsbury St & Erie St,9212,Orleans St & Ohio St,Subscriber,Female,1964
9071945,3/31/2016 7:30,3/31/2016 7:37,4725,435,9033,State St & Van Buren St,9075,Canal St & Jackson Blvd,Subscriber,Female,1959
9071926,3/31/2016 7:28,3/31/2016 7:45,2884,1014,9207,Emerald Ave & 28th St,9037,Dearborn St & Adams St,Subscriber,Female,1971
9071915,3/31/2016 7:27,3/31/2016 7:30,1659,170,9129,Blue Island Ave & 18th St,9015,Racine Ave & 18th St,Subscriber,Male,1987
9071899,3/31/2016 7:25,3/31/2016 7:34,4337,558,9231,Sheridan Rd & Montrose Ave,9344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1984
9071887,3/31/2016 7:24,3/31/2016 7:33,3025,590,9192,Canal St & Adams St,9199,Wabash Ave & Grand Ave,Subscriber,Male,1978
9071877,3/31/2016 7:23,3/31/2016 7:39,2109,975,9077,Clinton St & Madison St,9342,Wolcott Ave & Polk St,Subscriber,Male,1972
9071866,3/31/2016 7:21,3/31/2016 7:27,4738,339,9023,Orleans St & Elm St (*),9085,Michigan Ave & Oak St,Subscriber,Male,1972
9071856,3/31/2016 7:20,3/31/2016 7:27,4629,394,9021,Aberdeen St & Jackson Blvd,9286,Franklin St & Quincy St,Subscriber,Male,1981
9071845,3/31/2016 7:18,3/31/2016 7:23,811,312,9036,Franklin St & Jackson Blvd,9100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1992
9071835,3/31/2016 7:17,3/31/2016 7:22,1647,286,9074,Kingsbury St & Erie St,9212,Orleans St & Ohio St,Subscriber,Male,1982
9071823,3/31/2016 7:16,3/31/2016 7:26,2417,601,9018,Wacker Dr & Washington St,9108,Halsted St & Polk St,Subscriber,Male,1993
9071808,3/31/2016 7:14,3/31/2016 7:26,3281,687,9141,Clark St & Lincoln Ave,9212,Orleans St & Ohio St,Subscriber,Male,1981
9071796,3/31/2016 7:13,3/31/2016 7:20,1114,428,9166,Ashland Ave & Wrightwood Ave,9067,Sheffield Ave & Fullerton Ave,Subscriber,Male,1987
9071783,3/31/2016 7:11,3/31/2016 7:19,4302,485,9091,Clinton St & Washington Blvd,9048,Larrabee St & Kingsbury St,Subscriber,Male,1976
9071772,3/31/2016 7:10,3/31/2016 7:23,2436,748,9461,Broadway & Ridge Ave,9344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1964
9071760,3/31/2016 7:08,3/31/2016 7:15,504,455,9174,Canal St & Madison St,9031,Franklin St & Chicago Ave,Subscriber,Male,1981
9071750,3/31/2016 7:06,3/31/2016 7:19,603,780,9258,Logan Blvd & Elston Ave,9500,Central Park Ave & Elbridge Ave,Subscriber,Male,1989
